name	wikidata
A-lîng	Q131448455
Him-gî	Q98096373
王秀容	Q98096261
王亮月	Q131448384
王崇憲	Q98096262
王雪瑜	Q131448219
王朝源	Q98096263
王麗惠	Q131448272
平安嬸仔	Q131448461
田美瑜	Q98096264
白麗芬	Q98096265
守家女	Q131448460
何石松	Q131448022
吳令宜	Q98096266
吳秀梅	Q98096267
呂文茹	Q131448458
李玉美	Q98096268
李秉璋	Q98096269
李盈萱	Q98096271
李得福	Q131448172
李筱雯	Q98096272
李夢花	Q131448197
沈祚瑋	Q98096273
足滿完	Q131448488
林月娥	Q98096275
林如卿	Q131448472
林伯殷	Q98096277
林秀子	Q98096279
林玫汝	Q98096280
林炤慧	Q98096281
林秋絨	Q131448475
林美瑢	Q98096282
林美麗	Q98096284
林桂鄉	Q131448209
林淑美	Q98096287
林淑期	Q98096288
林淑雅	Q131448474
林連鍠	Q131448477
林雅萍	Q131448478
林綉華	Q98096289
林義和	Q98096290
林滿足	Q98096291
林曉瑛	Q131448473
林麗黛	Q131448262
邱一帆	Q98096293
邱文錫	Q98096294
邱素綢	Q131448489
邱碧華	Q98096295
姚志龍	Q131448459
後山人	Q98096296
柳青亮	Q98096297
洪協強	Q131448235
洪美芳	Q98096298
洪振春	Q98096299
洪素琴	Q131448479
洪宿芬	Q98096300
洪淑昭	Q98096303
洪媛麗	Q98096304
紀春綢	Q98096309
范嘉云	Q98096310
徐汎平	Q98096311
徐姿華	Q98096312
徐華聲	Q98096313
徐貴榮	Q131448037
徐禎偵	Q131448468
涂瑛砡	Q98096314
翁佩詩	Q98096316
張日東	Q98096317
張月惠	Q131448428
張育政	Q131448467
張美容	Q98096319
張美惠	Q131448466
張捷明	Q131448106
張淑芳	Q98096320
張淑貞	Q131448465
張逸嫻	Q98096321
張照權	Q131448246
張寶明	Q131448464
彩禾	Q98096322
莊桂英	Q131448483
許新源	Q98096324
許嘉勇	Q98096325
郭聿恩	Q131448490
郭家華	Q98096326
陳志寧	Q98096327
陳明芳	Q98096328
陳昭蓉	Q98096329
陳秋貴	Q98096330
陳美虹	Q98096331
陳美雪	Q98096332
陳美燕	Q131448117
陳素年	Q98096333
陳貴冠	Q98096334
陳雅菁	Q98096337
陳筱玲	Q98096338
陳瑪莉	Q131448491
陳憲國	Q98096340
彭瑞珠	Q98096341
曾菁怡	Q98096342
曾裕櫑	Q131448471
温鳳瑜	Q131448480
游蒼林	Q131448481
程惠如	Q98096343
黃文俊	Q98096344
黃文達	Q98096345
黃月春	Q131448495
黃美貞	Q131448164
黃美華	Q98096346
黃美銀	Q131448497
黃惠玉	Q131448493
黃惠祺	Q131448494
黃琬芸	Q131448496
黃靜惠	Q98096347
黃麗盆	Q131448498
想想	Q131448469
楊允言	Q98096348
楊文清	Q98096349
楊月卿	Q98096350
楊雅秀	Q98096352
葉家仁	Q98096353
廖永平	Q131448462
廖妍媚	Q98096355
廖淑鳳	Q131448463
廖輝煌	Q98096356
趙玉華	Q98096357
劉文桂	Q98096358
劉方	Q131448457
劉玉蕉	Q98096359
劉孟宜	Q98096360
劉奕均	Q131448456
蔡素珠	Q98096361
蔡淑芬	Q131448398
蔡連真	Q98096362
蔡惠芬	Q98096363
蔡瀚儀	Q131448484
鄭昱蘋	Q98096364
賴錫真	Q131448215
駱寶雲	Q98096365
戴凡瑄	Q131448470
謝惠如	Q131448073
謝惠珠	Q98096367
韓滿	Q131448492
簡惠珠	Q131448482
簡繡芬	Q98096368
藍春瑞	Q98096370
藍淑貞	Q131448485
魏俊陽	Q98096371
蘇心怡	Q131448487
蘇嘉祺	Q131448486
霽虹	Q98096372
龔萬灶	Q131448003